"Name","Rating","Rating Deviation","Volatility"
"joebigs",1821.35448502,302.86696912,0.0599054699226
"kuyashi",1891.99966796,191.696073834,0.0597514178147
"westballz",891.868444107,108.598075977,0.0598937519223
"dynamic",1451.26085446,160.392436918,0.0594522150991
"skate",1755.07472044,362.488749292,0.0597691189521
"ice",1385.59738255,241.969556917,0.0599534522778
"2shadez",1741.49408706,166.31287075,0.0597380603402
"randomplaceholder#1",1383.3581021,554.588733015,0.0599895310379
"deku",1410.9313577,265.314278397,0.0599755908899
"flask",995.470926801,483.617994325,0.0599220191
".ðempt",1583.45685296,231.132259316,0.0599830720686
"l3375",1360.27302315,210.27963857,0.059970850922
"gman",1621.85790692,267.662600526,0.0599759682293
"brazmonkey13",1786.8137917,478.756279395,0.0600163400043
"kirbykaze",1041.49847883,124.960358705,0.0599165326173
"stitchface",1663.10846454,216.163266189,0.059914262416
"noro",1506.22665278,389.218613178,0.0598481564131
"tequila",1604.6412506,274.860794688,0.059886072829
"phlops",1020.19604413,549.864751843,0.0599288900556
"brazmonkey",1926.83750804,465.433763419,0.0598822651121
"tubby",1532.68724392,266.282445294,0.0599977589744
"sasha",1837.82925024,311.093257088,0.0598909589306
"vaatu",1424.77445445,233.264034349,0.0599588113404
"techboy",2248.62796335,173.407572191,0.0594026224672
"princef.abu",1625.70971395,155.151278503,0.0599505540204
"falf",1532.68724392,364.453992201,0.0599977589744
"raynex",1560.96924177,207.540447836,0.0599916938454
"deepcsquid",1457.93500831,565.410369618,0.0599639809561
"karils",1564.7778194,491.580631384,0.0599469472502
"helpme",1568.57848228,547.399551104,0.0599787768888
"senahue",1550.51609778,409.623707112,0.0599949695059
"roki",1714.98726986,296.113996545,0.059833086608
"coffeeblack",1620.68694869,177.38823478,0.0599576049528
"roku",1331.16409384,534.854648987,0.0599825840103
"copcrusher",1388.86689133,560.310237369,0.0600517997047
"whitex6",1451.25281175,512.060456636,0.0599769447281
"joeycrzl",1568.58404104,314.442674236,0.0599879430763
"odb",1561.2947116,389.049778203,0.0599916805806
"shmoe",1289.76400594,483.013550142,0.0599847296266
"anther",1561.00523012,290.331881506,0.0599916919181
"bird",1532.68724392,388.546387237,0.0599977589744
"aghi",1776.9480176,362.544493281,0.0597900626187
"stringbean",1551.29185901,336.695161612,0.0599949398455
"weissclimbers",1551.50674664,323.03494675,0.05999493203
"peelee",1770.54096197,430.205660492,0.0596394625064
"lange",1864.74565751,218.620028507,0.0596566673698
"jonah",1532.68724392,395.748873726,0.0599977589744
"kashkuk",1261.26140217,545.090931195,0.0599861342598
"jopps",1602.68563721,266.137135967,0.0599385882281
"m.a.c.",1669.48111217,450.43970131,0.0597926556922
"actionmaster",1599.31055353,310.812090265,0.0599879701985
"marbleblaster",1302.21128952,445.599670404,0.0599978187699
"inkadinkadoo",1208.06545397,259.882168503,0.0599977589744
"jackie",1592.53610412,250.292516013,0.0599633886435
"zbet",1561.74357939,303.98098191,0.0599916513617
"ctl",1752.02322567,512.411359867,0.0599466468181
"littlebucket",1562.87051394,369.785880132,0.0599947270706
"dre",1589.45564508,231.446013486,0.059982216705
"woogles",1286.99145572,575.058144785,0.0599930473624
"spooky",1428.46862586,505.321089074,0.0599752783185
"threejaayz",1411.24440451,533.310830074,0.0599666477367
"modus",1079.57046484,490.150783191,0.0599132147484
"vit",1327.83813662,529.202620361,0.0600121951102
"duck",1599.48557862,205.52600486,0.0599517233153
"brd",1272.12052015,579.708753106,0.0599791157132
"datrooph",1608.23028571,356.964020726,0.0599694055003
"popstar",1264.23306787,525.791553776,0.0599809316249
"redwing",1223.799417,484.353474602,0.0599458639866
"russell",2109.16799474,206.4399641,0.0597879287981
"bumpadump",1088.65025716,583.590566225,0.0600501093481
"mr.f",2209.26832469,172.385825997,0.0599615072549
"tm",2236.13125083,135.726372832,0.0597112122989
"trailmix",1550.98311983,426.20262256,0.0599949513765
"door",1555.91448198,456.838957964,0.0599857274354
"caboose",1500.62548661,506.893185413,0.0599842360451
"pfl",1269.79289116,492.051309755,0.0599799865668
"train",1591.61878469,468.508849449,0.059975439336
"rabbit",1566.00115602,185.917051801,0.0599914723781
"burntwood",1411.06991218,530.883325549,0.0599626147604
"turnup_xd",1437.03547429,474.074387079,0.0600063291767
"sorry",1532.68724392,386.303222011,0.0599977589744
"highdef",1232.72750917,573.095074003,0.0599876291593
"b4g3l",1330.90045822,462.980880961,0.0599844112258
"soup",1464.50582288,516.454650108,0.059958626053
"cam",1723.97440578,465.527007229,0.0599858666698
"cal",1594.83345526,225.922335712,0.0599728523832
"shark",1400.28992609,382.077437255,0.0599636023066
"lordy",1420.8967199,493.744466192,0.0599874904579
"wrenches",1601.40881964,287.134050225,0.0599792102966
"dr.pnc",1532.68724392,283.09023353,0.0599977589744
"supermingeefan",1150.77165195,537.932945609,0.0599626735119
"nyx",1230.29701155,530.355203273,0.059988959457
"stif",1464.26016874,204.710531602,0.0599537819157
"absynthe",1550.45347057,241.706617702,0.0599949720007
"beach",2024.14992116,236.002676242,0.0594084525588
"sin",1384.81154624,568.825028159,0.0599737242752
"mufasa",1271.66385288,415.099270064,0.0598443480374
"sacredtwin",1315.95512474,208.111986316,0.0596094258435
"slush",1532.68724392,270.130252034,0.0599977589744
"squilliamfancyson",1421.92508894,569.760551793,0.0599673555713
"trulliam",1575.98125518,183.678551137,0.0599877120691
"parzival",2023.11114882,209.213341749,0.059239627776
"datnero",1577.85275534,519.354678297,0.0599521994221
"ultrabob",1378.61935333,449.196564903,0.0599799428756
"qbaby",1090.20187624,183.517358616,0.0598727432468
"m8land",1572.41027187,375.828133491,0.0599840231306
"juiceboy",1358.4027872,426.622399827,0.059976191421
"cday",1532.68724392,345.951170632,0.0599977589744
"q",1283.41243114,601.739601717,0.0599784504266
